,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,40.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,50.0
1,40.0,25.07347,19.21963,16.51121,15.07172,14.22759,13.70422,13.37621,13.18122,13.08698,13.07766,13.14798,13.30131,13.55018,13.91981,14.4563,15.2452,16.45565,18.45535,22.14373,30.02393,50.0
2,40.0,31.07434,25.29402,21.75373,19.54839,18.13478,17.21348,16.61986,16.26214,16.08953,16.07614,16.21344,16.50752,16.98003,17.67314,18.66052,20.06915,22.12228,25.22219,30.09577,37.95201,50.0
3,40.0,33.93007,29.12867,25.6617,23.23383,21.55025,20.39572,19.6283,19.15873,18.93362,18.92471,19.12288,19.53602,20.18995,21.13284,22.44403,24.24907,26.7425,30.21565,35.0653,41.68841,50.0
4,40.0,35.5175,31.62931,28.53112,26.17568,24.43747,23.19176,22.33987,21.81186,21.56257,21.56724,21.81839,22.32472,23.11182,24.22506,25.73444,27.74121,30.38348,33.83295,38.2616,43.73639,50.0
5,40.0,36.51093,33.34046,30.65847,28.50117,26.83317,25.59508,24.72877,24.18752,23.93886,23.96457,24.25999,24.83385,25.7087,26.92215,28.52838,30.59862,33.21788,36.47152,40.41203,44.99566,50.0
6,40.0,37.18612,34.56373,32.26192,30.33836,28.8001,27.62793,26.79401,26.27205,26.0423,26.09369,26.42464,27.0434,27.96829,29.22768,30.85934,32.90791,35.41858,38.42372,41.91965,45.83433,50.0
7,40.0,37.67022,35.46708,33.488,31.79136,30.40225,29.32397,28.54884,28.066,27.86627,27.94493,28.30311,28.9484,29.89485,31.16227,32.77454,34.7561,37.12561,39.88571,43.00884,46.42214,50.0
8,40.0,38.02812,36.1471,34.43263,32.93804,31.69496,30.71841,30.01307,29.57861,29.41366,29.51845,29.89624,30.55395,31.50202,32.75344,34.32172,36.2174,38.44288,40.98527,43.80826,46.84549,50.0
9,40.0,38.29562,36.66131,35.15838,33.83447,32.72259,31.84329,31.20819,30.82354,30.69322,30.82088,31.2113,31.8709,32.8075,34.02928,35.54281,37.35002,39.44414,41.80488,44.39381,47.15171,50.0
10,40.0,38.49354,37.0449,35.70618,34.52017,33.51914,32.72564,32.15467,31.81606,31.71673,31.8625,32.2591,32.91268,33.82949,35.0149,36.47156,38.19686,40.17967,42.39693,44.81081,47.36765,50.0
11,40.0,38.63412,37.31935,36.10231,35.0222,34.10964,33.38715,32.87061,32.57117,32.49711,32.65522,33.05182,33.69304,34.58459,35.73081,37.13304,38.78733,40.68166,42.79303,45.08523,47.50821,50.0
12,40.0,38.72404,37.49684,36.36253,35.35793,34.51156,33.84436,33.37121,33.10278,33.04721,33.21137,33.60178,34.22484,35.08667,36.19221,37.54378,39.13888,40.96748,43.00892,45.22927,47.58009,50.0
13,40.0,38.76568,37.58215,36.49403,35.53664,34.73573,34.10909,33.66879,33.42332,33.37938,33.5431,33.92086,34.51959,35.34663,36.40902,37.71223,39.258,41.04131,43.04652,45.24319,47.58298,50.0
14,40.0,38.75694,37.57273,36.49572,35.56,34.78694,34.18895,33.77311,33.54399,33.50558,33.66249,34.02064,34.58763,35.3727,36.38636,37.63931,39.14057,40.89402,42.89323,45.11434,47.50877,50.0
15,40.0,38.68973,37.45674,36.35697,35.42171,34.66428,34.088,33.69215,33.47546,33.43801,33.58217,33.91309,34.43902,35.17154,36.12561,37.31916,38.77183,40.50168,42.51855,44.81248,47.33784,50.0
16,40.0,38.54557,37.20806,36.05443,35.10652,34.36152,33.80779,33.43328,33.22901,33.1902,33.31645,33.61184,34.08507,34.75002,35.62644,36.74082,38.12669,39.82295,41.86724,44.27944,47.0302,50.0
17,40.0,38.28479,36.77598,35.54681,34.58918,33.86836,33.34935,33.00523,32.81821,32.77844,32.88274,33.13386,33.54048,34.11801,34.89019,35.89178,37.17184,38.79671,40.8484,43.40808,46.50358,50.0
18,40.0,37.81785,36.06461,34.76813,33.83563,33.17411,32.71679,32.42092,32.26105,32.22353,32.30311,32.50125,32.82583,33.29212,33.92526,34.76487,35.87269,37.34405,39.32187,42.00107,45.57609,50.0
19,40.0,36.92216,34.89675,33.62586,32.81152,32.27619,31.92335,31.70123,31.58218,31.55217,31.60556,31.74284,31.97009,32.29995,32.75436,33.37021,34.21037,35.38523,37.09416,39.69837,43.79976,50.0
20,40.0,34.97416,32.97452,32.02725,31.50869,31.19607,30.99953,30.87883,30.81467,30.79781,30.82452,30.89483,31.01209,31.18357,31.42234,31.75151,32.21358,32.89252,33.9713,35.89856,39.92458,50.0
21,40.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,50.0
